split,image,color_norm,noise,denoise,psnr,ssim,rmse,mse
train,104022,hist_match,saltpepper,nlmeans,19.24549409324948,0.47499055281831876,27.814129718705736,773.6258120089896
train,105019,none,none,none,inf,1.0,0.0,0.0
train,105019,none,none,gaussian,32.606514431834725,0.8473119300972553,5.973301812243177,35.680334540147626
train,105019,none,none,median,32.62261635153282,0.8458709157675252,5.96223875084877,35.548290922122696
train,105019,none,none,nlmeans,29.280431135175725,0.6211466911796749,8.760292832382126,76.74273050908565
train,105019,none,gaussian,none,25.998178438247216,0.5344285958351671,12.782954954413091,163.4039373665542
train,105019,none,gaussian,gaussian,31.185364505478876,0.7758439513092837,7.035127215737685,49.49301494161307
train,105019,none,gaussian,median,29.93297462464667,0.7021400389802355,8.12627376637318,66.03632532604495
train,105019,none,gaussian,nlmeans,29.423277110969885,0.638372899410161,8.617401438871987,74.25960755867298
train,105019,none,saltpepper,none,19.884759310929606,0.36906345570282645,25.840577475877858,667.7354442868461
train,105019,none,saltpepper,gaussian,28.397024721492127,0.6391704547656464,9.698151057425255,94.0541339326386
train,105019,none,saltpepper,median,32.43295806676614,0.8416229825985057,6.093857257540842,37.13509627528319
train,105019,none,saltpepper,nlmeans,20.956904279728764,0.37558152745425977,22.839940407783512,521.6628778311022
train,105019,reinhard,none,none,15.749517441127816,0.8009117219959808,41.59722012303509,1730.328721964236
train,105019,reinhard,none,gaussian,15.824671943115602,0.7929596091567813,41.23885354899631,1700.6430420355655
train,105019,reinhard,none,median,15.696063524346542,0.7526794341205814,41.854003300085566,1751.7575922435735
train,105019,reinhard,none,nlmeans,15.681483597540788,0.7425086096428214,41.9243174272623,1757.6483917418498
train,105019,reinhard,gaussian,none,15.377214922641159,0.5029728717853947,43.41896175668725,1885.20624002867
train,105019,reinhard,gaussian,gaussian,15.794030704305968,0.7414376723462764,41.38458888013332,1712.6841967776547
train,105019,reinhard,gaussian,median,15.609113304698216,0.6546535069258822,42.27508750346963,1787.1830234260142
train,105019,reinhard,gaussian,nlmeans,15.666011929765485,0.7570224437981232,41.999061313338004,1763.921151201525
train,105019,reinhard,saltpepper,none,14.458891895467367,0.348103672046616,48.260918781456084,2329.1162816303004
train,105019,reinhard,saltpepper,gaussian,15.959148138780053,0.6313070204027064,40.60530467516197,1648.7907677627304
train,105019,reinhard,saltpepper,median,15.684534915943972,0.7454177751655066,41.909592168296996,1756.4139157129812
train,105019,reinhard,saltpepper,nlmeans,14.819392240745039,0.4047542861901589,46.29888886091473,2143.587109755334
train,105019,gray_world,none,none,21.774415769380933,0.9770252554360876,20.788319930835414,432.1542455467689
train,105019,gray_world,none,gaussian,21.450196681968862,0.8349160655796989,21.578951868536656,465.65116374462167
train,105019,gray_world,none,median,21.453248311390634,0.8311600840532815,21.57137182771856,465.32408252969003
train,105019,gray_world,none,nlmeans,21.090421117736213,0.6157278983960114,22.491536471537938,505.86921285052125
train,105019,gray_world,gaussian,none,20.38497956290566,0.5257499925474199,24.394459626579927,595.0896604728381
train,105019,gray_world,gaussian,gaussian,21.325733082450217,0.7651514672318109,21.89039137442917,479.1892345256831
train,105019,gray_world,gaussian,median,21.174130491103536,0.6908310187901398,22.275817741514622,496.21205605317755
train,105019,gray_world,gaussian,nlmeans,21.0569880264022,0.6323783669336148,22.57827607805909,509.77855065705535
train,105019,gray_world,saltpepper,none,17.769357515881467,0.3561542459763139,32.96645926710763,1086.7874366098665
train,105019,gray_world,saltpepper,gaussian,20.94345242576269,0.628530554874769,22.875340072051927,523.2811834120246
train,105019,gray_world,saltpepper,median,21.43522524300133,0.8265333915319498,21.616178515724272,467.2591736236596
train,105019,gray_world,saltpepper,nlmeans,18.315661772346935,0.362004228113709,30.956873450840902,958.3280138513784
train,105019,hist_match,none,none,14.877486458781119,0.6488679915583734,45.990259225485,2115.103943627308
train,105019,hist_match,none,gaussian,15.203618475981802,0.7197003827048928,44.29546413324655,1962.0881427797315
